configName      Platooning
iniFile         omnetpp.ini
processID       3803
runID           Platooning-0-20191111-22:48:21-3803
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-11-11 22:48:21.880
endDateTime     2019-11-11 22:49:24.880
duration        0 hour, 1 minute, 2 second


index          timestamp      vehId          pltMode        pltId          pltDepth       pltSize        pltOptSize     pltMaxSize     


1              0.00           veh            3              veh            0              6              4              10             
1              0.00           veh.1          3              veh            1              -              -              -              
1              0.00           veh.2          3              veh            2              -              -              -              
1              0.00           veh.3          3              veh            3              -              -              -              
1              0.00           veh.4          3              veh            4              -              -              -              
1              0.00           veh.5          3              veh            5              -              -              -              

2              0.00           veh1           3              veh1           0              5              4              10             
2              0.00           veh1.1         3              veh1           1              -              -              -              
2              0.00           veh1.2         3              veh1           2              -              -              -              
2              0.00           veh1.3         3              veh1           3              -              -              -              
2              0.00           veh1.4         3              veh1           4              -              -              -              

3              0.20           veh1           3              veh1           0              4              4              10             
3              0.20           veh1.1         3              veh1           1              -              -              -              
3              0.20           veh1.2         3              veh1           2              -              -              -              
3              0.20           veh1.3         3              veh1           3              -              -              -              

4              0.30           veh            3              veh            0              4              4              10             
4              0.30           veh.1          3              veh            1              -              -              -              
4              0.30           veh.2          3              veh            2              -              -              -              
4              0.30           veh.3          3              veh            3              -              -              -              

5              0.30           veh.4          3              veh.4          0              2              4              10             
5              0.30           veh.5          3              veh.4          1              -              -              -              

6              0.30           veh1           3              veh1           0              4              4              10             
6              0.30           veh1.1         3              veh1           1              -              -              -              
6              0.30           veh1.2         3              veh1           2              -              -              -              
6              0.30           veh1.3         3              veh1           3              -              -              -              

7              0.30           veh1.4         3              veh1.4         0              1              4              10             

8              0.40           veh            3              veh            0              4              4              10             
8              0.40           veh.1          3              veh            1              -              -              -              
8              0.40           veh.2          3              veh            2              -              -              -              
8              0.40           veh.3          3              veh            3              -              -              -              

9              0.40           veh.4          3              veh.4          0              2              4              10             
9              0.40           veh.5          3              veh.4          1              -              -              -              

10             0.40           veh1           3              veh1           0              4              4              10             
10             0.40           veh1.1         3              veh1           1              -              -              -              
10             0.40           veh1.2         3              veh1           2              -              -              -              
10             0.40           veh1.3         3              veh1           3              -              -              -              

11             0.40           veh1.4         3              veh1.4         0              1              4              10             

12             0.50           veh            3              veh            0              4              4              10             
12             0.50           veh.1          3              veh            1              -              -              -              
12             0.50           veh.2          3              veh            2              -              -              -              
12             0.50           veh.3          3              veh            3              -              -              -              

13             0.50           veh.4          3              veh.4          0              2              4              10             
13             0.50           veh.5          3              veh.4          1              -              -              -              

14             0.50           veh1           3              veh1           0              4              4              10             
14             0.50           veh1.1         3              veh1           1              -              -              -              
14             0.50           veh1.2         3              veh1           2              -              -              -              
14             0.50           veh1.3         3              veh1           3              -              -              -              

15             0.50           veh1.4         3              veh1.4         0              1              4              10             

16             0.60           veh            3              veh            0              4              4              10             
16             0.60           veh.1          3              veh            1              -              -              -              
16             0.60           veh.2          3              veh            2              -              -              -              
16             0.60           veh.3          3              veh            3              -              -              -              

17             0.60           veh.4          3              veh.4          0              2              4              10             
