configName      Platooning
iniFile         omnetpp.ini
processID       3895
runID           Platooning-0-20191111-22:53:07-3895
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-11-11 22:53:07.042
endDateTime     2019-11-11 22:53:48.042
duration        0 hour, 0 minute, 41 second


index     timeStamp   vehid               emissionclass       co2                 co                  hc                  nox                 


1         -0.10       stopped             HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh                 HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh.1               HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh.2               HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1                HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1.1              HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1.2              HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1.3              HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                

2         0.00        stopped             HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
2         0.00        veh                 HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
2         0.00        veh.1               HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh.2               HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh1                HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
2         0.00        veh1.1              HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh1.2              HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh1.3              HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                

3         0.10        stopped             HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
3         0.10        veh                 HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
3         0.10        veh.1               HBEFA3/PC_G_EU4     2622.41             164.25              0.81                1.20                
3         0.10        veh.2               HBEFA3/PC_G_EU4     2622.39             164.21              0.81                1.20                
3         0.10        veh1                HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
3         0.10        veh1.1              HBEFA3/PC_G_EU4     2622.41             164.25              0.81                1.20                
3         0.10        veh1.2              HBEFA3/PC_G_EU4     2622.39             164.21              0.81                1.20                
3         0.10        veh1.3              HBEFA3/PC_G_EU4     2622.39             164.21              0.81                1.20                

4         0.20        stopped             HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
4         0.20        veh                 HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
4         0.20        veh.1               HBEFA3/PC_G_EU4     2621.10             163.87              0.81                1.20                
4         0.20        veh.2               HBEFA3/PC_G_EU4     2621.29             163.74              0.81                1.20                
4         0.20        veh1                HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
4         0.20        veh1.1              HBEFA3/PC_G_EU4     2621.10             163.87              0.81                1.20                
4         0.20        veh1.2              HBEFA3/PC_G_EU4     2621.29             163.74              0.81                1.20                
